index,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime,HelpfulRecords,HasHelpful,weightedRating
136753,B00697UWA6,"[1, 2]",5,"This is a new author for me, but it is one I am glad I found. This book was so good. I enjoyed it as much as I do reading King or Koontz even though it is completely different from their writing. I hope they continue writing. I am now reading part 2 and am enjoying it just as much.It keeps you on edge just enough but not too much to make you aggravated.I would recommend this book to everyone who enjoys this type of book.","04 10, 2013",A3EYPCW1UI9VNY,cessnagirl,Awesome,1365552000,0.5,True,5.0
905131,B00JTYXRSK,"[1, 1]",5,This is a really sweet love story and the kind of story you will read more than once.  Wes and Callie are so sweet with each other and you know almost from the beginning that they are soul mates.  The ride to their HEA is a good read.,"07 18, 2014",AKOLD2E17G0G0,Nancy,Love Story,1405641600,1.0,True,5.0
387630,B00AR3O6OG,"[0, 0]",4,"I really, really liked this novella!! The best part of this book.....LAYLA WASN'T IN IT LOL :)) this book was totally from Ollie's point of view!! It made me love Ollie even more!! I love his realness, that he was angry after what that hussy done 2 him LOL! We got 2 experience all the different emotions he was feeling it made u want 2 root 4 him!! I also liked the supporting characters, Mel  Amy! They are nothing like Layla, actually anyone who isn't Layla in this book I liked LOL only thing I couldn't take Mel's  Amy's relationship seriously, it was like it was thrown together!! They r better as BFFs! And Ollie, u naughty, naughty boy u!!!! He's a slut, and I love it!!! He stopped his whoring ways 4 Layla, which made me know he truly loves her! Great book!! :)","04 12, 2013",A31URM7SS8IR2Y,Romantic1hearts,I loved it!!!,1365724800,0.0,False,3.5
387624,B00AR3O6OG,"[0, 0]",3,"~3.5 Stars~  Good little novella from Ollie's pov.My heart goes out to Ollie. He's a great guy. I want him to have his own one-and-only.... his own HEA. He deserves it- just NOT WITH Layla. She belongs with Jared- and ONLY Jared. Always had, from day one, even when they weren't together. Layla and Jared are meant to be. Period.The whole love triangle happened in Bound Together and that was fine. It made the story all the more emotional/angsty/powerful, but enough now. No more triangles. Layla made her choice and it's the absolute right one. If she ends up choosing/getting back with Ollie in the next book or ever again- the entire story will be ruined for me.If it isn't obvious enough yet.... TEAM JARED. :)","03 16, 2013",A33WLB4OI1Y1K0,LovesToRead,"Great little story, love Ollie, BUT....",1363392000,0.0,False,3.5
803875,B00I1JP1VU,"[0, 0]",5,This was a great book. M.s. Anita is a rider I loved her loyalty to her family but she needed to realize when she was in over her head overall great job Kierra,"02 15, 2014",A1GUNN6NH30RTD,DIVA,A queens checkmate,1392422400,0.0,False,5.0
812391,B00I6BTALK,"[2, 2]",5,"These stories are about people that have super powers, they're infected is the term the public uses for them. Each book highlights one of the characters, but you'll get to know them all as it's one story line. Some are super strong, or fast, maybe they project a feeling onto others. They all have a first mode that they have to cope with, be it greed, shyness, depression or any of the common negative emotions we all have.Very well written, the books draw you into the lives of each of the people, and you will root for them and feel their pain and anguish when things are hard, or feel joy and happiness when things are going well. I enjoy how comedy is thrown in when appropriate and it gives me a smile or giggle.I bought this set for my daughter because it's SUCH a GREAT deal and I know she will enjoy them as much as I did. I recommend you get them while Mr. Power has them on sale!!!!!","02 2, 2014",A1C8BD59LDD7XK,Amazon Customer Marcia A,Excellent series!,1391299200,1.0,True,5.0
252336,B008F8H14W,"[0, 0]",5,"Captivating, flows well, strongly recommend to others, downloaded based on reviews was not disappointed.  Alyssa Kress rocked it...Will be looking for more titles from her","05 8, 2014",A3I1XHJFA537R4,Anonymous,Very good,1399507200,0.0,False,5.0
644253,B00F2NOMRC,"[4, 4]",5,"This was an engrossing read. It's not normally along the lines of what I read, but the description of the story was enticing. I enjoyed it and the sadly warped ending. Never trust an uptight Nanny! I would recommend this story and would read from from this author.","06 13, 2014",A3KI93AT8FAXI1,Lisa,A perfect Nanny.,1402617600,1.0,True,5.0
523176,B00CRE9CSI,"[0, 0]",5,"There are very nice pictures and a lot of information about butterflies for kids (and adults) in this picture book. Kids will enjoy this book and learn a lot about them when they read it. After all, who doesn't love to see pictures of butterflies?","07 4, 2013",A2NTCGJEDUK466,Michael Joshua Grandpa's Heart,"Nice, informative book about butterflies",1372896000,0.0,False,5.0
802611,B00I10EO0I,"[0, 0]",5,"All I have say is ready the other reviews, because this novel had me at page one. Azure had me at Meet Me. This book isva emotional roller coaster ride that will not disappoint.","05 16, 2014",A3W3VGYD86KKW0,Monique' Ridenour Mo'Joi,Broken,1400198400,0.0,False,5.0
853169,B00ITTMGZG,"[0, 0]",4,Where do I begin... I really liked how this book started out. I don't think we as readers would have totally got Lucy's story other wise. This is one of those books were you just know how it will end but the ride to get there is totally worth it. There were some twist and turns in the plot that threw me. I love when an author can get me like that. It makes the read that much more entertaining.I loved Knox. The kind of man that doesn't run away screaming. He stuck with Lucy even when she did reveal her past. When Lucy does decide to let Knox in the story really grows. I loved it. It was incredibly hard to put down. I would highly recommend this book to any. It is the kind of read you curl up with and have a huge smile on when you finally close it.,"03 10, 2014",A10DZ0VS7INN49,Twin Opinions,Leann's review,1394409600,0.0,False,4.5
853140,B00ITTMGZG,"[0, 0]",5,"I think I have a new fictional boyfriend.  Knox Taylor is the perfect man, rich, handsome, kind, and compassionate and a very sexy lover.  Lucy is a young battered lady who comes to New York to escape an abusive boyfriend.  Finding a roommate who will become her best friend, Lucy starts a job at the cosmetic counter in a high end department store.  Lucy was trying to put her past behind her, but she would never allow another man to enter her life.  She had been warned by her mom growing up, men were evil, and she tried once with Drake, that was enough.Knox felt an instant connection to her from the first time he went in to buy aftershave.  He wasn8217t willing to write her off, he would do what he needed to do so he could win her trust.  First step, try for a friendship with Lucy. He shows her he can be trusted, that he won8217t force himself on her and finally he tears down her walls.  Lucy allows him to love her tells him about her life with her Drake.  It wasn8217t an easy story to listen to or tell, with descriptions of broken ribs, bruises, horrible names he called her, but it was her story and Knox needed to know it so he could understand why she was so protective of her heart.Knox is furious and vows to protect her, which is good all of a sudden Lucy is attracting the attention of other men.  Lucy tries very hard to let go of the past, but things keep happening to remind her, then text messages, gifts start arriving.  It could only mean her ex found her, but how could that be, he doesn8217t know where she is.The author did a great job at developing characters we can relate to and fall in love with.  I instantly became a huge fan of Knox and I adored Lucy for her strength and willingness to not be a victim.  She was learning to trust and fight back.  I really enjoyed this story, it was an easy read, yet gave me enough drama and kept my interest the whole time.  I really think the readers will enjoy Discovering Lucy and I look forward to reading more from this author.Reviewed by Tbird for Crystal8217s Many Reviewers*Copy provided for honest review*","03 30, 2014",A1OO1T6GAZS9,Crystal's Many Reviewers,An amazing story,1396137600,0.0,False,4.5
182031,B007B77U8A,"[3, 4]",5,"This was a really great book, I would recommend it to anyone who likes sci-fi and adventure. My husband and I read it together, which is saying a lot to get a man who is glued to espn to read... very well written.","05 17, 2013",A1JFOS2HR4XYQT,harmony bliss booksie2,hooks you right away,1368748800,0.75,True,5.0
357633,B00AA9K9V6,"[0, 0]",3,"This book had a great story to tell.  Lovely characters, historical features.  Too many spelling errors, lousy editing, got boring in the middle.  Was going to put it down but thought it might get better.  Maybe something got lost in translation.","04 3, 2014",A4B87OAIHAJ1C,gibbsjacker,Great Story but.....,1396483200,0.0,False,3.0
715198,B00GK6UPPS,"[1, 1]",5,"Blood Sucker: A Paranormal Romance has a great story line. A love triangle between  a college senior starting a new life as a vampire, her jack ass maker and a human. Well done Susan G. Charles.","11 23, 2013",A2ELEHCL7GQOOE,Avid Reader,A great paranormal love triangle,1385164800,1.0,True,5.0
919572,B00K4BFOTW,"[0, 0]",5,"I just played a game on a beach overseas and while I could run with the other players I had no idea what to do once the ball came to me!! this book was recommended to me by a friend and now I'm excited to learn and get better, nice guide for anyone who wants to learn the game","05 7, 2014",A36FSRUV8SF3HF,Nick J.,Great guide for soccer lovers!,1399420800,0.0,False,5.0
59014,B004UHLJNG,"[1, 1]",5,The drama continues with Detective Marcella and Lilith. A good read. Donovan's writing is easy on the eyes and entertaining. Very enjoyable. Great series.,"08 13, 2012",A3H6N791IT7B2L,witchraven,THE SPELL CONTINUES,1344816000,1.0,True,4.666666666666667
58975,B004UHLJNG,"[0, 0]",4,"Retired New Castle Police Detective, Tony Marcella, is asked by his former partner Carlos to help investigate three suicides that Carlos believes are murders. Tony has mixed feelings about this. His last case shook him up enough to retire to Florida. Although the thought of returning makes him uneasy, Tony also realizes that the personal demons destroying his peace of mind need to be put to rest. It isn't long before Tony and Carlos realize that this increasingly bizarre case could involve supernatural elements. A visit to local witch, Lilith Adams, verifies that she's partly to blame for Tony's bad memories. The question is whether Lilith is involved in these suicides. Is she intending to help or thwart attempts to find the truth?Eye of the Witch is the second installment in a series that incorporates mystery, the supernatural, witchcraft, and even romance. The book is a police procedural mystery first, but one that  incorporates suspects and victims with unique abilities. Those abilities will stretch credibility with some readers while others will appreciate the creative means used to commit a crime.The book's strengths are its interesting premise and characters. Tony is complex and the author portrays his inner turmoil well. Carlos and his new partner Spinelli are also believable and likeable. Frequent references are made to events in the first book which have left an impact on characters in this installment, however, not enough backstory was provided to understand the complexity of the relationship between Tony and Lilith. Over all Eye of the Witch is a good mystery, although given the ending, I'm not sure where it will go from there.","12 27, 2013",A3VL7MU8U9DOV0,Debra Purdy Kong Mystery Author,Interesting Premise and Likeable Characters,1388102400,0.0,False,4.666666666666667
472756,B00BZW5HGY,"[0, 0]",4,"Not the type of book I would normally read..it held my interest,  and  like most apocalyptic stories it ends with you thinking and then what happens?","05 16, 2013",A2PB8POD9WCQX0,Lmhufana,Another way to end life as we know it.,1368662400,0.0,False,4.5
472766,B00BZW5HGY,"[0, 0]",5,"A really new concept for a world. A great idea, and the invitation for readers to participate with their on offerings of this new world is certainly great.","05 30, 2013",A1MJVFQL0R5ZJS,Shaun Grainger,After: The Echo,1369872000,0.0,False,4.5
145924,B006HW44RK,"[1, 1]",5,This was an emotional journey.  I loved how the story was told from different points of view.  Can't wait for next in series!,"12 26, 2012",A3KFCP8YMMN5H1,Luv 2read,Great story,1356480000,1.0,True,5.0
683132,B00FUWKLHU,"[0, 0]",4,"Searc has hid his darkness all his life. When he is forced to show it he leaves his home to get away from those that fear him. He comes across a girl in danger and saves her. He isn't done saving her even not knowing anything bout her he will do anything to keep her safe. Elena is on the run as well. She has to keep her past a secret and now she is on the streets. She is trying to find a place to go where she can live her life. She doesn't really know why bit she trust Searc. They end up in a dangerous place and have to tell a lie to keep them both safe. There is a killer on the loose and Searc seems to be getting framed. Elena is in danger as well as her past is close to catching up to her. They have to work together and learn to trust each other to be safe.Searc is a great guy who is very wonderful about protecting Elena. He has a lot of control. He has a big power but is afraid to let anyone know about it or that it is good. Elena is a tough girl who while does need help, she also at times can be quite handy. She is innocent and hates to lie but has problems trusting people. I liked both of them.This kept my attention as I never was sure who the killer was. I kept thinking ok I know but I was wrong. There is plenty of suspense that keeps you turning pages. I love how Searc is afraid to use his power and never wants to use it unless he has to. There is tons of sexual chemistry between him and Elena. Elena even if she is innocent knows she wants Searc. She does trust him and you can tell she is just afraid to tell him all. I love seeing these two together and how much they care for each other in a short time. I would recommend this to anyone who likes a magical read with a great plot.","07 1, 2014",A1CUXURVHSE9QP,PamM,Love Searc!,1404172800,0.0,False,4.0
848242,B00IQOFSDG,"[0, 0]",3,"So happy result were a happy ending.  For awhile thought it might be a sad one,but so glad they found each other and in the end as a result of their strong bond and love they were able to get past the rough times.","07 19, 2014",A3KGVKVGID1Z84,Marsha Stromberg,Crazy in love,1405728000,0.0,False,3.0
686294,B00FXAG6MS,"[0, 0]",5,I loved the story.  I just wished it didn't stop where it did.  I guess I have to keep reading to find out what's happening with Ashly and Jake.  Bought the next book.  Can't wait to get started.,"12 17, 2013",A2O4S5HYBY50L4,Joyce S. Onoda,My Despicable Ex,1387238400,0.0,False,5.0
686358,B00FXAG6MS,"[0, 0]",5,I really enjoyed this love story and I appreciate that the author shared it but I felt the ending was sudden without a future direction.,"12 13, 2013",ASKIMVX9ZQNG3,shelly,My despicable ex,1386892800,0.0,False,5.0
377378,B00AMQ6U3S,"[0, 0]",5,"This was a great novella that was filled with loads of action despite the number of pages. I loved the description and the stroyline was quick, simple to understand and get lost in. I wish there was more!The novella had was a great cross over between Gallagher Girls and Heist Society which I loved and even though I have only read the Gallagher Girls series it didn't effect the reading experience. I will definitely be checking out Heist Society sooner than I expected though (they've been on my wish list for a while).","03 11, 2013",A13CMG4T0EVF8A,Sienna @ Lost to Books,Loved it,1362960000,0.0,False,5.0
353394,B00A8P66OG,"[1, 1]",5,"The beginning of the book grabbed my attention immediately from the start. I won't give it away, but suffice it to say that if we were going through a similar trial of our own, it would be almost too difficult to bear. In addition to that, the heroine, Katie is asked to perform an almost unspeakable task in the midst of her pain. That is a turning point for her, and shows her mettle and her character.The introduction of all of the other characters brought some fascinating layers to the story. These would be people that I would love to be around, and have around me when going through hard times. And times were hard in the 1800's. People needed each other back then. They weren't isolated like we are today, and through good times and bad, your friends, neighbors, and family were there for you. I found this enjoyable to read about.The author also skillfully wove moral values throughout without being preachy. Yes, there were Bible verses, but they applied to the story and also gave the book a soul, so to speak, that I have not found in reading other romance novels. I appreciated this, and found myself being drawn in by the characters, their lives, and the tragedies and triumphs that linked them all together.Well written, and full of edifying words--all the way to the satisfying end.","05 17, 2013",A2IJI1NDUT9LNU,floridabreezes,A Romance Novel with a Soul,1368748800,1.0,True,5.0
99339,B005GXN8CS,"[0, 0]",5,"This is a truly unique book. It is not like the other historical books I read, the story flowed nicely, it made me laugh and cry and hurt for her and it made me fall madly in love with the Lord. Great book recommend this book to everyone.","10 26, 2013",A1YKRF4OES4OOD,Tricia Anderson,Fantastic,1382745600,0.0,False,5.0
950904,B00KQA8Y7K,"[2, 2]",5,Thankyou skyla this series was amazing totally loved it so readers out there just one click on the consumed series you won't regret it at all.,"06 7, 2014",A15TIRKST5JWSB,Coco,more than 10,1402099200,1.0,True,5.0
253524,B008GBCCMO,"[3, 3]",5,"When we start Vampire Betrayed, we find a couple in bed having sex.  Interesting way to start the story.  The two main protagonists are Joaquin, who is a vampire, and Ariana, a human.  The key to the beginning of this story is that Ariana has no idea that Joaquin is a vampire.  She knows he has some strange habits, but their lovemaking was great, and he was wonderful with her.  But then Ariana begins to get strange emails from someone unknown with comments about the man she is sleeping with....the man you are with isn't who you think he is.....Ariana pressures Joaquin to tell her more about himself, and he becomes suspicious and finds out about the emails.  He finally tells her that he is a vampire, and she laughs.  There is no such thing as vampires.  So she thinks..... Joaquin has feelings for Ariana, more then he has ever had for a human woman, and he asks her if she trusts him.  She leaves to take a walk, and that will be the last time either see each other for 6 onths.What happens thereafter is very exciting.  Charon is a powerful vampires, who wants to rule the world. She also has magical powers, given to her by a Shaman, making her even more powerful.  Charon wants Joaquin dead, as he is the only person standing in her way of taking control. She befriends Ariana, under the guise of protecting her against Joaquin, and then uses her powers to make Ariana think she has been beaten, and Charon  saved her.  Charon tells Ariana that she is a vampire hunter, and wants her help to save the world.  Using her illusions on Ariana to hide the fact that Charon converted her to a vampire, and trains Ariana to be a vampire hunter.Joaquin of course is still looking for the missing Ariana, with help from his friend Devlin.  Over the next few months, it becomes apparent that with the rise of vampire slayings, Charon has converted Ariana.  Of course, Joaquin can't understand why Charon is having her kill vampires, but over time he will see it is a plot to kill him.This was an excellent story, a different type of theme with Ariana not knowing what she was due to the illusions, and becoming an excellent fighter.  The story was very exciting, especially the last half of the book.  Charon was a good villain, and Ariana turned into a great heroine.  I really liked Joaquin, who really loved Ariana and would do anything to save her.  Great story, the best of this series so far, with excellent characters and a super ending.","08 1, 2012",A32HPEJOM37MF4,Barb thereadingcafe Barb,Wonderful and fun short story.,1343779200,1.0,True,5.0
188350,B007GU0Y3A,"[0, 0]",4,"I enjoyed reading this book.  Never knew from one minute to the next what plot line the story would take.  Kept me guessing, which I like.  Different and interesting!","07 9, 2013",A2WDNRHWHEY8IH,atabarac,DIFFERENT!,1373328000,0.0,False,4.0
970250,B00LAK1BDY,"[0, 1]",5,"Cary Whitmore is a single gay man with a three year old he's raising on his own after his long term partner left him early on in the pregnancy. They had made the decision to have a child, found the surrogate and gotten pregnant. But Cary's ex left him alone and struggling for reasons that reveal themself in the book, which just make you hate the guy even more. Cary's number one focus is little Gus and then his business the Dog Barkery. He hasn't dated since before Gus was born, and rarely hooks up. But there is something about the tall blonde that volunteers at the animal shelter that piques Cary's interest. When he meets his best friend out at a local gay bar for a drink, the last person he expects to see is Heath, the spine tingling sexy man from the shelter.Heath Cummings swings both ways, he's the if I'm interested in them the plumbing doesn't matter, type. Having married his best friend when they were young, dumb and got knocked up... only to loose the baby and almost his best friend, he has a strict 'no children' policy for the people he plays with. Yes, I said plays with, because Heath is out for numero uno only and the words commitment, love, and emotion are not in his vocabulary. That is until one tall, dark and handsome single father gets under his skin.A chance encounter ends with Cary in Heath's lap sans clothing at the Barkery, in Cary's office, and the two decide to use each other for weekly tire rotations. The sex is off the charts amazing, but soon both men find themselves getting more attached than the situation calls for. Cary is worried about bringing anyone into Gus's life, or falling in love with an emotionally unavailable man that will no doubt break his heart in the end. Heath is completely blown away by Cary, Gus and the every growing feelings he has for both of them. He didn't think he was capable of the love that he is starting to feel. And it scares the living crap out of him, literally. But communication is not either of these men's strong suit from the start, and one miscommunication too many threatens to implode their already fragile friendship.What an adorable, slightly angsty, definitely sexy, just a little quirky, sarcastic and emotional love story this was! I LOVED the inner monologue playing in Heath's mind at the start of the story. Boehme has this knack for creating realistically flawed characters and impossible relationships that turn into down to earth, good old fashioned love stories. Both men struggle for various reasons throughout, some of their reasons align while they also have very different reasons to doubt not only their ability to love, but to be loved as well. Boehme brought the emotions and the passion to the pages and had me hooked from the start and praying these two would pull their heads out of their {insert appropriate word here} and just commit to each other already!This is a must read for those that like a story that makes you feel because Keep Swimming will keep you reading, and feeling until the end. I was standing up in my bed screaming at my kindle toward the end, and then I was laughing and fist pumping the air. I seriously got into this book.","06 30, 2014",AVY8JRFPVWQ1I,"Tams Avid reader, reviewer, blogger and budd...",Feel Good Read!,1404086400,0.0,True,5.0
62919,B004WEKR1W,"[0, 0]",4,"I just finished The Strange Case of Finley Jayne and liked it enough to buy the next book, The Girl in the Steel Corset. A few rough edges but a good old fashioned hold your attention storyline with a lead character I liked and would like to know more about. Luckily, it's obvious already that Finley should have some amazing tales ahead of her.  A fun, but not silly, read - if you enjoy the Carringer books, you'll like this.  Dern good reads are rated for being exactly that - not for being great literature in the grand scheme of high muckety muck.","10 31, 2011",AA6UDW8LST4AZ,P. M. Scogin old broad avid reader,"Good storyline, fun, a touch of dark mystery - a dern good read.",1320019200,0.0,False,4.0
